service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
3255V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
3256S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
3257D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
3258L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
3259M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
3260X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
3261J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
3262V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
3263S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
3264D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
3265L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
3266M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
3267X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
3268J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
3269V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
3270S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
3271D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
3272L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
3273M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
3274X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
3275J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
3276V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
3277S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
3278D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
3279L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
3280M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
3281X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
3282J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
3283V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
3284S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
4055V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
4056S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
4057D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
4058L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
4059M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
